Variant,Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 01,vLeft,P2,S2,Ru1,nifU,S10,scarC,S0,Rs1,nifS,S10,scarD,S0,Rv1,nifV,S10,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,,,,,,,
Variant 02,vLeft,P2,S2,Ru1,nifU,S10,scarC,S0,Rs1,nifS,S10,scarD,S0,Rv1,nifV,S10,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P3,S3,Rm2,nifM,T1,S11,vRight,,,,,,,,,,
Variant 03,vLeft,P2,S2,Ru1,nifU,S10,scarC,P3,S3,Rs2,nifS,S10,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P3,S3,Rm2,nifM,T1,S11,vRight,,,,,,
Variant 04,vLeft,P2,S2,Ru1,nifU,S10,scarC,P3,S3,Rs2,nifS,S10,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS13,rP1,rT1,rnifZ,rRz1,rS1,rP1,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,,
