design_name,parts,
Design A000P010: 1414088611009_A000P010,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,pPhlF,output_YFP
Design A000P011: 1414088611009_A000P011,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pQacR,PlmJ,an2_litr,LitR,L3S2P24,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pPhlF,output_YFP
Design A000P012: 1414088611009_A000P012,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,pPhlF,output_YFP
Design A000P013: 1414088611009_A000P013,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pPhlF,output_YFP
Design A000P014: 1414088611009_A000P014,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,pPhlF,output_YFP
Design A000P015: 1414088611009_A000P015,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,pQacR,PlmJ,an2_litr,LitR,L3S2P24,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pPhlF,output_YFP
Design A000P016: 1414088611009_A000P016,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,pPhlF,output_YFP
Design A000P017: 1414088611009_A000P017,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,pQacR,PlmJ,an2_litr,LitR,L3S2P24,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,pPhlF,output_YFP
Design A000P018: 1414088611009_A000P018,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pPhlF,output_YFP
Design A000P019: 1414088611009_A000P019,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,pPhlF,output_YFP
